2023-10-19 23:18:33,293 - INFO - Frame 69: Num_Contours=116, Percentage_outliers=1.72, Concentration=24.57, Pancake_no=5, Brash_no=15, Frazil_no=62, Pancake_area=13.92, Brash_area=21.93, Frazil_area=25.0, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,299 - INFO - Frame 70: Num_Contours=113, Percentage_outliers=2.65, Concentration=17.42, Pancake_no=2, Brash_no=15, Frazil_no=49, Pancake_area=4.27, Brash_area=20.08, Frazil_area=18.36, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,306 - INFO - Frame 71: Num_Contours=83, Percentage_outliers=2.41, Concentration=12.54, Pancake_no=2, Brash_no=8, Frazil_no=35, Pancake_area=4.48, Brash_area=10.87, Frazil_area=15.37, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,328 - INFO - Frame 72: Num_Contours=89, Percentage_outliers=3.37, Concentration=12.59, Pancake_no=1, Brash_no=8, Frazil_no=38, Pancake_area=2.08, Brash_area=11.14, Frazil_area=17.41, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,334 - INFO - Frame 73: Num_Contours=93, Percentage_outliers=3.23, Concentration=12.82, Pancake_no=1, Brash_no=10, Frazil_no=35, Pancake_area=2.11, Brash_area=13.19, Frazil_area=15.66, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,339 - INFO - Frame 74: Num_Contours=116, Percentage_outliers=2.59, Concentration=16.9, Pancake_no=2, Brash_no=14, Frazil_no=47, Pancake_area=4.33, Brash_area=18.81, Frazil_area=18.16, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,346 - INFO - Frame 75: Num_Contours=117, Percentage_outliers=2.56, Concentration=22.18, Pancake_no=5, Brash_no=15, Frazil_no=59, Pancake_area=12.43, Brash_area=20.6, Frazil_area=22.52, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,353 - INFO - Frame 76: Num_Contours=115, Percentage_outliers=1.74, Concentration=22.68, Pancake_no=6, Brash_no=15, Frazil_no=54, Pancake_area=14.93, Brash_area=20.44, Frazil_area=21.9, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,358 - INFO - Frame 77: Num_Contours=112, Percentage_outliers=2.68, Concentration=22.78, Pancake_no=5, Brash_no=17, Frazil_no=52, Pancake_area=12.8, Brash_area=23.1, Frazil_area=21.35, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,364 - INFO - Frame 78: Num_Contours=100, Percentage_outliers=2.0, Concentration=23.0, Pancake_no=6, Brash_no=15, Frazil_no=48, Pancake_area=16.89, Brash_area=20.54, Frazil_area=18.88, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,370 - INFO - Frame 79: Num_Contours=95, Percentage_outliers=2.11, Concentration=22.55, Pancake_no=6, Brash_no=15, Frazil_no=44, Pancake_area=16.11, Brash_area=21.77, Frazil_area=17.3, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,376 - INFO - Frame 80: Num_Contours=86, Percentage_outliers=2.33, Concentration=22.06, Pancake_no=6, Brash_no=11, Frazil_no=43, Pancake_area=18.86, Brash_area=15.86, Frazil_area=18.17, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,382 - INFO - Frame 81: Num_Contours=86, Percentage_outliers=1.16, Concentration=23.25, Pancake_no=7, Brash_no=12, Frazil_no=43, Pancake_area=23.68, Brash_area=17.16, Frazil_area=17.59, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,387 - INFO - Frame 82: Num_Contours=88, Percentage_outliers=1.14, Concentration=23.11, Pancake_no=7, Brash_no=13, Frazil_no=43, Pancake_area=20.82, Brash_area=19.85, Frazil_area=17.31, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,392 - INFO - Frame 83: Num_Contours=82, Percentage_outliers=1.22, Concentration=24.05, Pancake_no=7, Brash_no=11, Frazil_no=36, Pancake_area=26.03, Brash_area=17.03, Frazil_area=15.6, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,398 - INFO - Frame 84: Num_Contours=74, Percentage_outliers=1.35, Concentration=23.76, Pancake_no=7, Brash_no=7, Frazil_no=36, Pancake_area=32.95, Brash_area=10.63, Frazil_area=14.19, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,403 - INFO - Frame 85: Num_Contours=78, Percentage_outliers=1.28, Concentration=23.48, Pancake_no=6, Brash_no=10, Frazil_no=40, Pancake_area=26.56, Brash_area=15.4, Frazil_area=15.54, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,409 - INFO - Frame 86: Num_Contours=78, Percentage_outliers=1.28, Concentration=22.49, Pancake_no=6, Brash_no=11, Frazil_no=36, Pancake_area=23.47, Brash_area=16.76, Frazil_area=14.37, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,414 - INFO - Frame 87: Num_Contours=84, Percentage_outliers=2.38, Concentration=21.8, Pancake_no=5, Brash_no=13, Frazil_no=38, Pancake_area=17.3, Brash_area=20.45, Frazil_area=15.49, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,420 - INFO - Frame 88: Num_Contours=86, Percentage_outliers=1.16, Concentration=23.06, Pancake_no=6, Brash_no=12, Frazil_no=39, Pancake_area=23.15, Brash_area=18.11, Frazil_area=16.1, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,425 - INFO - Frame 89: Num_Contours=82, Percentage_outliers=1.22, Concentration=22.91, Pancake_no=6, Brash_no=11, Frazil_no=37, Pancake_area=24.17, Brash_area=17.58, Frazil_area=15.28, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,430 - INFO - Frame 90: Num_Contours=88, Percentage_outliers=1.14, Concentration=22.31, Pancake_no=6, Brash_no=14, Frazil_no=42, Pancake_area=18.71, Brash_area=20.07, Frazil_area=18.27, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
2023-10-19 23:18:33,436 - INFO - Frame 91: Num_Contours=84, Percentage_outliers=2.38, Concentration=20.76, Pancake_no=6, Brash_no=13, Frazil_no=37, Pancake_area=16.93, Brash_area=19.07, Frazil_area=14.33, Time=2023-09-30 12:00:00, Geo_location= 71.6734° N, 2.8451° W
